Program ID of SkyWatcher Network training:3867

Program command: 
 ['TrainSkyWatcher.py', '/home/hxie1/temp_netParameters/OvarianCancer/SkyWatcher', '/home/hxie1/data/OvarianCancerCT/Extract_ps2_2_5/images_npy', '/home/hxie1/data/OvarianCancerCT/Extract_ps2_2_5/labels_npy', '/home/hxie1/data/OvarianCancerCT/patientResponseDict.json']

Major program changes: 
                      along deeper layer, increase filter number.
                      10 fold cross validation, 0 fold for test.
                      data partition with patient ID, instead of VOI.
                      in image3dResponseDataMgr, random Crop ROI in the fly.
                      erase normalization layers  in the fully connected layers.
                      Crop ROI around the mass center in each labeled slice. 
                      use reSampleForSameDistribution in both trainSet and testSet
                      training response branch per 5 epoch after epoch 100, while continuing train the segmenation branch.
                      which means that before epoch 100, the accuray data is a mess.
                      

Experiment setting for Image3d ROI to response:
Input CT data: 29*140*140  3D CT raw image ROI with spacing size(5*2*2)
segmentation label: 23*127*127 with spacing size(5*2*2) segmentation label with value (0,1,2) which erases lymph node label

This is a multi-task learning. 

Predictive Model: 1,  first 3-layer dense conv block with channel size 128.
                  2,  and 3 dense conv DownBB blocks,  each of which includes a stride 2 conv and 3-layers dense conv block; 
                  3,  and 3 fully connected layers  changes the tensor into size 2*1;
                  4,  final a softmax for binary classification;
                  Total network learning parameters are 8 million.
                  Network architecture is referred at https://github.com/Hui-Xie/OvarianCancer/blob/master/SkyWatcherModel.py

response Loss Function:   focus loss  with weight [3.3, 1.4] for [0,1] class separately, as [0,1] uneven distribution.
segmentation loss function: focus loss  with weight [1.0416883685076772, 39.37007874015748, 68.39945280437757] for label (0, 1, 2)

Data:   training data has 113 patients, and valdiation data has 27 patients with training/test rate 80/20.
        We randomize all data, and then assign same distrubtion of treat reponse 0,1 into to training and test data set.
        

Training strategy:  50% probability of data are mixed up with beta distribution with alpha =0.4, to feed into network for training. 
                    No other data augmentation, and no dropout.  

                    Learning Scheduler:  Reduce learning rate on  plateau, and learning rate patience is 30 epochs.                                

            

Program starting Time: 2019-06-27 14:34:54.148369
Info: this is the 0th fold leave for test in the 10-fold cross-validation.

Info: netPath = /home/hxie1/temp_netParameters/OvarianCancer/SkyWatcher

Now program get 169 input files.
Infor: In all data of 169 files, respone 0 has 51 files,
	  and response 1 has 118 files, where positive response rate = 0.6982248520710059 in full data
Infor: Validation Set has 16 files,and Training Set has 153 files
Infor: Validataion set has 11 1's, and positive response rate = 0.6875
Infor: trainning set has 107 1's, and positive response rate = 0.6993464052287581
Infor: the drop_last data in the dataMgr may lead the number of validation set and training set less than above number.
Infor: program is in multi samples running model.
TrainTestData Input:  batchSize=6, depth=29, height=140, width=140

Info: the size of bottle neck in the net = (512, 1, 7, 7)

Info: program uses Mixup with alpha=0.4, and mixupProb = 0.5.
Network trains from scratch.
Network has total 21,463,612 parameters.
Infor: Segmentation Cross Entropy Weight: [1.0416883685076772, 39.37007874015748, 68.39945280437757] for label (0, 1, 2)
Info: program will use 3 GPUs.
Loss Functions List: FocalCELoss with weight of 1; 	FocalCELoss with weight of 1; 
Hints: Test Dice_0 is the dice coeff for all non-zero labels
Hints: Test Dice_1 is for primary cancer(green), 	
 test Dice_2 is for metastasis(yellow), 	
 and test Dice_3 is for invaded lymph node(brown).
Hints: Test TPR_0 is the TPR for all non-zero labels
Hints: Test TPR_1 is for primary cancer(green), 	
 TPR_2 is for metastasis(yellow), 	
 and TPR_3 is for invaded lymph node(brown).

Dice is based on all 2D segmented slices in the volume from weak annotation, not real 3D dice.

Hints: Optimal_Result = Yes = 1,  Optimal_Result = No = 0 

Epoch	TrLoss	Dice0	Dice1	Dice2	TPR_0	TPR_1	TPR_2	Accura	TPR_r	TNR_r		TsLoss	Dice0	Dice1	Dice2	TPR_0	TPR_1	TPR_2	Accura	TPR_r	TNR_r
0	1.5960	0.035	0.010	0.019	0.068	0.021	0.039	0.5000	1.0000	0.0000		1.8023	0.112	0.000	0.104	0.189	0.000	0.248	0.6875	1.0000	0.0000
5	0.3576	0.155	0.282	0.087	0.828	0.500	0.663	0.5000	1.0000	0.0000		0.9050	0.167	0.420	0.021	0.993	0.904	0.409	0.6875	1.0000	0.0000
10	0.3331	0.173	0.349	0.089	0.861	0.624	0.622	0.5000	1.0000	0.0000		0.8244	0.259	0.000	0.148	0.828	0.000	0.766	0.6875	1.0000	0.0000
15	0.2966	0.175	0.352	0.093	0.864	0.674	0.651	0.5000	1.0000	0.0000		0.6704	0.244	0.316	0.146	0.961	0.484	0.914	0.6875	1.0000	0.0000
20	0.3138	0.183	0.335	0.104	0.906	0.769	0.721	0.5000	1.0000	0.0000		0.6097	0.249	0.432	0.169	0.893	0.808	0.737	0.6875	1.0000	0.0000
25	0.2771	0.175	0.325	0.122	0.892	0.747	0.752	0.5000	1.0000	0.0000		0.5904	0.293	0.407	0.221	0.957	0.665	0.833	0.6875	1.0000	0.0000
30	0.2778	0.193	0.322	0.124	0.890	0.740	0.738	0.5000	1.0000	0.0000		0.6642	0.211	0.242	0.138	0.917	0.431	0.834	0.6875	1.0000	0.0000
35	0.2523	0.204	0.354	0.150	0.884	0.745	0.761	0.5000	1.0000	0.0000		0.5105	0.254	0.366	0.168	0.964	0.987	0.684	0.6875	1.0000	0.0000
40	0.2730	0.196	0.338	0.137	0.873	0.714	0.741	0.5000	1.0000	0.0000		0.6098	0.303	0.401	0.221	0.952	0.607	0.929	0.6875	1.0000	0.0000
45	0.2644	0.203	0.328	0.131	0.890	0.775	0.728	0.5000	1.0000	0.0000		0.6427	0.240	0.359	0.222	0.943	0.820	0.843	0.6875	1.0000	0.0000
50	0.2164	0.224	0.359	0.159	0.889	0.849	0.725	0.5000	1.0000	0.0000		0.8108	0.290	0.302	0.246	0.952	0.580	0.882	0.6875	1.0000	0.0000
55	0.2115	0.218	0.328	0.156	0.858	0.747	0.760	0.5000	1.0000	0.0000		0.6596	0.312	0.469	0.259	0.948	0.921	0.771	0.6875	1.0000	0.0000
60	0.1978	0.227	0.331	0.174	0.893	0.758	0.806	0.5000	1.0000	0.0000		0.9279	0.287	0.297	0.235	0.870	0.498	0.871	0.6875	1.0000	0.0000
65	0.2232	0.216	0.361	0.149	0.906	0.857	0.752	0.5000	1.0000	0.0000		0.5931	0.266	0.394	0.126	0.959	0.531	0.771	0.6875	1.0000	0.0000
70	0.2288	0.228	0.348	0.161	0.878	0.808	0.737	0.5000	1.0000	0.0000		0.5460	0.330	0.372	0.255	0.930	0.721	0.862	0.6875	1.0000	0.0000
75	0.1804	0.234	0.360	0.188	0.899	0.819	0.786	0.5000	1.0000	0.0000		0.5540	0.299	0.353	0.235	0.934	0.892	0.832	0.6875	1.0000	0.0000
80	0.1716	0.244	0.367	0.178	0.892	0.825	0.783	0.5000	1.0000	0.0000		0.6687	0.328	0.412	0.260	0.906	0.812	0.720	0.6875	1.0000	0.0000
85	0.1660	0.242	0.370	0.182	0.886	0.812	0.783	0.5000	1.0000	0.0000		0.7151	0.296	0.389	0.246	0.939	0.765	0.868	0.6875	1.0000	0.0000
90	0.1707	0.243	0.381	0.163	0.900	0.875	0.773	0.5000	1.0000	0.0000		0.6022	0.264	0.354	0.223	0.972	0.835	0.881	0.6875	1.0000	0.0000
95	0.1428	0.235	0.392	0.171	0.896	0.876	0.814	0.5000	1.0000	0.0000		0.8532	0.290	0.392	0.229	0.932	0.836	0.714	0.6875	1.0000	0.0000
100	0.3528	0.232	0.354	0.172	0.894	0.855	0.803	0.5561	0.4112	0.7009		0.4477	0.368	0.398	0.276	0.957	0.716	0.890	0.7500	0.7273	0.8000
