=============training from sratch============
Program ID: 1781

Program command: 
 ['TrainSegV3d_ROI.py', '/home/hxie1/temp_netParameters/OvarianCancer/SegV3d_ROI', '1', '/home/hxie1/data/OvarianCancerCT/primaryROI/nrrd_npy', '/home/hxie1/data/OvarianCancerCT/primaryROI/labels_npy', '4', '3,2,1']

Major program changes: 
      1  3D V model for primary cancer ROI;
      2  Uniform ROI size: 51*171*171 in z,y,x directon;
      3  Total 36 patient data, in which training data 24 patients, validation 6 patients, and test 6 patients;
      4  all 36 patients data have 50-80% 3D label;
      5  Dice coefficient is 3D dice coefficient against corresponding 3D ground truth;
      6  training data augmentation in the fly: affine in XY plane, translation in Z direction;
      7  In the bottle neck of V model, the latent vector has size of 512*2*9*9;
      Sep 16th, 2019:
      1   add dynamic loss weight according trainin  data;
      2   refine learning rate decay.
      Sep 21st, 2019
      1   add improved Boundary Loss2, and inherit the previous learningrate of network of pure CELoss;
      Sep 23rd, 2019:
      1   improve mean of boundary loss limited on the A,B regions;
      2   use log(segProb) instead of segProb in the boudary loss;
      3   CrossEntropy weight reduces 0.01 per 5 epochs from 1 to 0.01, while boundary Loss weight increase 0.01 per 5 epochs from 0.01 to 1. 
      Sep 24th, 2019
      1   Use boundaryLoss1, which is considering the whole volume. 
      Sep 25th, 2019
      1   use boundaryLoss3, which is a stronger gradient signal to improve loss.
      2   unbalanced weight for class is applied on logP,and just use boundaryLoss3 with CELoss.
      3   use CELoss and boundaryLoss together.
      4   Use truncated DistanceCrossEntropy Loss alone;
      5   change LRScheduler into reduce into Plateau with initial LR=0.1
      Sep 26th, 2019
      1   Add one layer in the bottom of V model;
      2   Add residual connnection in each layer;
      
      
         

Discarded changes:                  

Experiment setting:
Input CT data: 51*171*171 ROI around primary cancer

Loss Function:  SoftMax

Data:   total 36 patients with 50-80% label, 6-fold cross validation, test 6, validation 6, and training 24.  
    script: python3.7 statisticsLabelFiles.py 
    Total 36 in /home/hxie1/data/OvarianCancerCT/primaryROI/labels_npy
    0 has 48159408 elements, with a rate of  0.8970491562903105 
    1 has 5527068 elements, with a rate of  0.10295084370968957

Training strategy: 

          

Program starting Time: 2019-09-28 09:32:42.845276
Info: netPath = /home/hxie1/temp_netParameters/OvarianCancer/SegV3d_ROI/20190928_093242

Info: this is the 4th fold leave for test in the 6-fold cross-validation.

Info: batchSize = 6

Net parameters is saved in  /home/hxie1/temp_netParameters/OvarianCancer/SegV3d_ROI/20190928_093242.
6-fold cross validation: the 4th fold is for test, the 5th fold is for validation, remaining folds are for training.

training dataset: total 24 image files.

validation dataset: total 6 image files.

test dataset: total 6 image files.
Total 24 training files  extracted from /home/hxie1/data/OvarianCancerCT/primaryROI/labels_npy
0 has 32276114 elements, with a rate of  0.9017945413291795 
1 has 3514870 elements, with a rate of  0.09820545867082056 
loss weight = tensor([1.0000, 9.1827])
Network has total 73,047,746 parameters.


************** Table of Training Log **************
Epoch	LearningRate		TrainingLoss	Dice		ValidationLoss	Dice		TestLoss	Dice
0	1.0000e-02		60.9678		0.04028		5268.1001		0.00000		5337.4844		0.00000
5	1.0000e-02		8.2341		0.41231		12.8869		0.44587		12.5317		0.27780
10	1.0000e-02		6.0546		0.48428		12.3131		0.42609		13.4619		0.34815
15	1.0000e-02		6.5115		0.53202		6.6639		0.54340		7.6848		0.45082
20	1.0000e-02		4.9172		0.56317		6.3158		0.59520		6.8334		0.51666
25	1.0000e-02		4.9657		0.52315		6.0452		0.61981		6.1567		0.52972
30	1.0000e-02		5.1652		0.49983		7.0263		0.62714		6.3923		0.53143
35	1.0000e-02		4.5933		0.58321		5.0003		0.62494		5.8134		0.51559
40	1.0000e-02		5.0559		0.56827		6.2483		0.53001		8.4019		0.43885
45	1.0000e-02		4.7113		0.59745		6.5247		0.64701		6.2477		0.56268
50	1.0000e-02		4.7692		0.55943		6.1495		0.61397		6.7861		0.49939
55	1.0000e-02		4.6291		0.54509		6.1365		0.58885		8.3866		0.48978
60	1.0000e-02		4.9455		0.56304		5.8000		0.64619		6.8486		0.50233
65	1.0000e-02		5.9627		0.56500		5.3960		0.63498		5.2740		0.56185
70	1.0000e-02		4.2057		0.58714		8.3663		0.62191		6.5937		0.57476
75	1.0000e-02		4.7304		0.55567		5.5833		0.60133		5.7512		0.49023
80	1.0000e-02		5.7463		0.56231		6.6914		0.56352		7.5934		0.43727
85	1.0000e-02		5.4316		0.52880		6.6144		0.57147		7.0324		0.51399
90	1.0000e-03		3.9462		0.58509		5.6112		0.64970		5.0152		0.58916
95	1.0000e-03		4.2663		0.59895		5.3811		0.64285		5.2963		0.56921
100	1.0000e-03		3.5277		0.60042		5.7530		0.63746		5.9156		0.56569
105	1.0000e-03		4.1489		0.59826		5.7516		0.65103		5.7507		0.58245
110	1.0000e-03		4.4987		0.60098		5.4039		0.64656		5.8692		0.55946
115	1.0000e-03		4.0016		0.66022		5.4133		0.66028		5.8809		0.56472
120	1.0000e-03		3.7163		0.64796		5.5335		0.67521		6.1798		0.57562
125	1.0000e-03		3.0976		0.60046		5.0396		0.65343		6.0511		0.55123
130	1.0000e-03		3.7023		0.63845		5.1340		0.66981		6.2717		0.56985
135	1.0000e-03		3.2971		0.61228		4.9841		0.66741		5.8465		0.57696
140	1.0000e-03		2.6999		0.64836		5.4404		0.66434		6.1237		0.58498
145	1.0000e-03		4.3251		0.63778		4.7996		0.64902		5.8211		0.56215
150	1.0000e-03		3.4143		0.64129		5.2153		0.67886		5.9043		0.59501
155	1.0000e-03		3.0733		0.64434		5.1905		0.65607		6.2851		0.57805
160	1.0000e-03		3.0748		0.67034		5.2308		0.65018		6.3997		0.56495
165	1.0000e-03		2.7601		0.67310		5.5565		0.68801		6.4874		0.58499
170	1.0000e-03		3.5502		0.65670		5.2852		0.65510		6.2444		0.56716
175	1.0000e-03		2.9791		0.64423		5.3861		0.67645		6.5311		0.57251
180	1.0000e-03		2.7664		0.64318		4.9164		0.67181		6.6364		0.56305
