Program ID of SkyWatcher Network training:9060

Program command: 
 ['TrainSkyWatcher.py', '/home/hxie1/temp_netParameters/OvarianCancer/SkyWatcher', '/home/hxie1/data/OvarianCancerCT/Extract_ps2_2_5/images_npy', '/home/hxie1/data/OvarianCancerCT/Extract_ps2_2_5/labels_npy', '/home/hxie1/data/OvarianCancerCT/patientResponseDict.json']

Major program changes: 
                      along deeper layer, increase filter number.
                      10 fold cross validation, 0 fold for test.
                      data partition with patient ID, instead of VOI.
                      in image3dResponseDataMgr, random Crop ROI in the fly.
                      erase normalization layers  in the fully connected layers.
                      Crop ROI around the mass center in each labeled slice. 
                      use reSampleForSameDistribution in training set, but keep original ditribution in the test set
                      First implement 1000 epochs in the segmentation path, and then freeze the encoder and decoder, only train the ResponseBranch.  
                      epoch < 1000, the loss is pure segmentation loss;
                      epoch >= 1000, the loss is pure response loss.                                         
 
Discarded changes:                      
                      training response branch per 5 epoch after epoch 100, while continuing train the segmenation branch.
                      which means that before epoch 100, the accuray data is a mess.
                      

Experiment setting for Image3d ROI to response:
Input CT data: 29*140*140  3D CT raw image ROI with spacing size(5*2*2)
segmentation label: 23*127*127 with spacing size(5*2*2) segmentation label with value (0,1,2) which erases lymph node label

This is a multi-task learning. 

Predictive Model: 1,  first 3-layer dense conv block with channel size 128.
                  2,  and 3 dense conv DownBB blocks,  each of which includes a stride 2 conv and 3-layers dense conv block; 
                  3,  and 3 fully connected layers  changes the tensor into size 2*1;
                  4,  final a softmax for binary classification;
                  Total network learning parameters are 8 million.
                  Network architecture is referred at https://github.com/Hui-Xie/OvarianCancer/blob/master/SkyWatcherModel.py

response Loss Function:   focus loss  with weight [3.3, 1.4] for [0,1] class separately, as [0,1] uneven distribution.
segmentation loss function: focus loss  with weight [1.0416883685076772, 39.37007874015748, 68.39945280437757] for label (0, 1, 2)

Data:   training data has 113 patients, and valdiation data has 27 patients with training/test rate 80/20.
        We randomize all data, and then assign same distrubtion of treat reponse 0,1 into to training and test data set.
        

Training strategy:  50% probability of data are mixed up with beta distribution with alpha =0.4, to feed into network for training. 
                    No other data augmentation, and no dropout.  

                    Learning Scheduler:  Reduce learning rate on  plateau, and learning rate patience is 30 epochs.                                

            

Program starting Time: 2019-06-28 11:52:17.784967
Info: this is the 0th fold leave for test in the 10-fold cross-validation.

Info: netPath = /home/hxie1/temp_netParameters/OvarianCancer/SkyWatcher

Now program get 169 input files.
Infor: In all data of 169 files, respone 0 has 51 files,
	  and response 1 has 118 files, where positive response rate = 0.6982248520710059 in full data
Infor: Validation Set has 16 files,and Training Set has 153 files
Infor: Validataion set has 11 1's, and positive response rate = 0.6875
Infor: trainning set has 107 1's, and positive response rate = 0.6993464052287581
Infor: the drop_last data in the dataMgr may lead the number of validation set and training set less than above number.
Infor: program is in multi samples running model.
TrainTestData Input:  batchSize=6, depth=29, height=140, width=140

Info: the size of bottle neck in the net = (512, 1, 7, 7)

Info: program uses Mixup with alpha=0.4, and mixupProb = 0.5.
Network trains from scratch.
Network has total 21,463,612 parameters.
Infor: Segmentation Cross Entropy Weight: [1.0416883685076772, 39.37007874015748, 68.39945280437757] for label (0, 1, 2)
Info: program will use 2 GPUs.
Loss Functions List: FocalCELoss with weight of 1; 	FocalCELoss with weight of 1; 
when epoch < 1000, only train segmentation, which means response accuracy are meaningless at these epoch.
when epoch >= 1000, only training response branch, which means segmentation accuracy should keep unchange.
Hints: Test Dice_0 is the dice coeff for all non-zero labels
Hints: Test Dice_1 is for primary cancer(green), 	
 test Dice_2 is for metastasis(yellow), 	
 and test Dice_3 is for invaded lymph node(brown).
Hints: Test TPR_0 is the TPR for all non-zero labels
Hints: Test TPR_1 is for primary cancer(green), 	
 TPR_2 is for metastasis(yellow), 	
 and TPR_3 is for invaded lymph node(brown).

Dice is based on all 2D segmented slices in the volume from weak annotation, not real 3D dice.

Hints: Optimal_Result = Yes = 1,  Optimal_Result = No = 0 

Epoch	TrLoss	Dice0	Dice1	Dice2	TPR_0	TPR_1	TPR_2	Accura	TPR_r	TNR_r		TsLoss	Dice0	Dice1	Dice2	TPR_0	TPR_1	TPR_2	Accura	TPR_r	TNR_r
0	0.6036	0.083	0.026	0.044	0.969	0.047	0.914	0.5000	1.0000	0.0000		0.7375	0.111	0.000	0.067	0.994	0.000	0.999	0.6875	1.0000	0.0000
5	0.3602	0.204	0.144	0.117	0.861	0.155	0.720	0.5000	1.0000	0.0000		0.5454	0.271	0.333	0.109	0.918	0.313	0.597	0.6875	1.0000	0.0000
10	0.3158	0.193	0.351	0.101	0.894	0.552	0.727	0.5000	1.0000	0.0000		0.5214	0.219	0.387	0.125	0.950	0.890	0.653	0.6875	1.0000	0.0000
15	0.2944	0.212	0.377	0.116	0.881	0.693	0.680	0.5000	1.0000	0.0000		0.5724	0.188	0.321	0.085	0.897	0.809	0.459	0.6875	1.0000	0.0000
20	0.2893	0.171	0.283	0.122	0.910	0.654	0.813	0.5000	1.0000	0.0000		0.5138	0.199	0.433	0.119	0.960	0.758	0.789	0.6875	1.0000	0.0000
25	0.2823	0.201	0.333	0.139	0.883	0.665	0.737	0.5000	1.0000	0.0000		0.4626	0.293	0.422	0.232	0.925	0.673	0.828	0.6875	1.0000	0.0000
30	0.2629	0.182	0.333	0.121	0.887	0.753	0.772	0.5000	1.0000	0.0000		0.7057	0.234	0.362	0.165	0.973	0.858	0.666	0.6875	1.0000	0.0000
35	0.2731	0.206	0.350	0.143	0.887	0.706	0.786	0.5000	1.0000	0.0000		0.8865	0.267	0.318	0.191	0.867	0.424	0.863	0.6875	1.0000	0.0000
40	0.2261	0.213	0.343	0.161	0.894	0.795	0.744	0.5000	1.0000	0.0000		0.9994	0.322	0.143	0.205	0.825	0.131	0.826	0.6875	1.0000	0.0000
45	0.2328	0.206	0.360	0.144	0.886	0.800	0.738	0.5000	1.0000	0.0000		0.7164	0.265	0.469	0.163	0.949	0.850	0.778	0.6875	1.0000	0.0000
50	0.2247	0.228	0.364	0.171	0.883	0.747	0.757	0.5000	1.0000	0.0000		0.5269	0.210	0.356	0.144	0.982	0.668	0.797	0.6875	1.0000	0.0000
55	0.2053	0.215	0.374	0.154	0.907	0.801	0.801	0.5000	1.0000	0.0000		0.7849	0.362	0.374	0.261	0.889	0.574	0.822	0.6875	1.0000	0.0000
60	0.2101	0.217	0.336	0.159	0.901	0.761	0.810	0.5000	1.0000	0.0000		0.7549	0.284	0.423	0.132	0.943	0.824	0.623	0.6875	1.0000	0.0000
65	0.1977	0.218	0.330	0.162	0.878	0.770	0.767	0.5000	1.0000	0.0000		0.6056	0.306	0.405	0.197	0.950	0.764	0.692	0.6875	1.0000	0.0000
70	0.1786	0.232	0.388	0.175	0.907	0.893	0.782	0.5000	1.0000	0.0000		0.5491	0.297	0.407	0.221	0.938	0.538	0.882	0.6875	1.0000	0.0000
75	0.1847	0.221	0.355	0.177	0.881	0.853	0.798	0.5000	1.0000	0.0000		0.5574	0.309	0.462	0.229	0.894	0.706	0.710	0.6875	1.0000	0.0000
80	0.2178	0.239	0.377	0.160	0.903	0.879	0.768	0.5047	1.0000	0.0093		0.5428	0.295	0.375	0.227	0.925	0.581	0.982	0.6875	1.0000	0.0000
85	0.1753	0.214	0.372	0.163	0.904	0.849	0.822	0.5000	1.0000	0.0000		0.4532	0.272	0.403	0.213	0.972	0.835	0.975	0.6875	1.0000	0.0000
90	0.1678	0.244	0.345	0.184	0.885	0.903	0.753	0.5000	1.0000	0.0000		0.5011	0.359	0.394	0.259	0.928	0.592	0.914	0.6875	1.0000	0.0000
95	0.1680	0.243	0.372	0.179	0.871	0.778	0.774	0.5000	1.0000	0.0000		0.5792	0.260	0.234	0.201	0.901	0.553	0.871	0.6875	1.0000	0.0000
100	0.1774	0.241	0.406	0.180	0.871	0.805	0.772	0.5000	1.0000	0.0000		0.4529	0.244	0.419	0.178	0.982	0.909	0.887	0.6875	1.0000	0.0000
105	0.1690	0.261	0.415	0.185	0.902	0.824	0.786	0.5000	1.0000	0.0000		0.4777	0.244	0.402	0.195	0.984	0.871	0.710	0.6875	1.0000	0.0000
110	0.1516	0.247	0.416	0.172	0.904	0.863	0.829	0.5000	1.0000	0.0000		0.4274	0.247	0.323	0.167	0.856	0.736	0.745	0.6875	1.0000	0.0000
115	0.1692	0.239	0.370	0.168	0.885	0.778	0.805	0.5000	1.0000	0.0000		0.4433	0.285	0.416	0.200	0.949	0.787	0.858	0.6875	1.0000	0.0000
120	0.1318	0.237	0.379	0.185	0.905	0.844	0.844	0.5000	1.0000	0.0000		0.4228	0.332	0.437	0.239	0.907	0.862	0.817	0.6875	1.0000	0.0000
125	0.1546	0.253	0.380	0.176	0.908	0.854	0.791	0.5000	1.0000	0.0000		0.5667	0.320	0.365	0.220	0.914	0.720	0.816	0.6875	1.0000	0.0000
130	0.1589	0.264	0.401	0.183	0.903	0.875	0.794	0.5000	1.0000	0.0000		0.5159	0.371	0.504	0.231	0.942	0.861	0.840	0.6875	1.0000	0.0000
135	0.1644	0.253	0.386	0.192	0.882	0.790	0.791	0.5000	1.0000	0.0000		0.5571	0.239	0.369	0.135	0.904	0.811	0.735	0.6875	1.0000	0.0000
140	0.1683	0.253	0.386	0.175	0.869	0.869	0.742	0.4953	0.9907	0.0000		0.4992	0.302	0.347	0.178	0.881	0.573	0.911	0.6875	1.0000	0.0000
145	0.1504	0.263	0.374	0.187	0.894	0.777	0.829	0.5000	1.0000	0.0000		0.4586	0.328	0.397	0.266	0.951	0.763	0.850	0.6875	1.0000	0.0000
150	0.1205	0.270	0.412	0.202	0.905	0.862	0.865	0.5000	1.0000	0.0000		0.5228	0.339	0.442	0.225	0.918	0.754	0.801	0.6875	1.0000	0.0000
155	0.1402	0.262	0.433	0.179	0.896	0.878	0.804	0.5000	1.0000	0.0000		0.4645	0.337	0.451	0.272	0.877	0.754	0.834	0.6875	1.0000	0.0000
160	0.1116	0.256	0.398	0.189	0.900	0.913	0.813	0.5000	1.0000	0.0000		0.3366	0.358	0.471	0.293	0.957	0.866	0.917	0.6875	1.0000	0.0000
165	0.1459	0.264	0.420	0.186	0.883	0.857	0.803	0.5000	1.0000	0.0000		0.6487	0.321	0.417	0.224	0.953	0.940	0.937	0.6875	1.0000	0.0000
170	0.1169	0.263	0.393	0.201	0.887	0.889	0.791	0.5000	1.0000	0.0000		0.5519	0.311	0.365	0.211	0.809	0.738	0.606	0.6875	1.0000	0.0000
175	0.1155	0.258	0.377	0.198	0.899	0.844	0.852	0.5000	1.0000	0.0000		0.3954	0.359	0.470	0.272	0.910	0.761	0.859	0.6875	1.0000	0.0000
180	0.1206	0.267	0.394	0.199	0.907	0.919	0.810	0.4953	0.9907	0.0000		0.4572	0.313	0.468	0.252	0.917	0.780	0.875	0.6875	1.0000	0.0000
185	0.1059	0.286	0.409	0.213	0.917	0.899	0.856	0.5000	1.0000	0.0000		0.5808	0.363	0.398	0.348	0.919	0.896	0.701	0.6875	1.0000	0.0000
190	0.1005	0.270	0.429	0.186	0.910	0.892	0.823	0.5047	1.0000	0.0093		0.5763	0.318	0.394	0.240	0.911	0.869	0.744	0.6875	1.0000	0.0000
195	0.1170	0.269	0.415	0.189	0.912	0.878	0.854	0.5000	1.0000	0.0000		0.4356	0.290	0.449	0.213	0.938	0.791	0.835	0.6875	1.0000	0.0000
200	0.1039	0.277	0.426	0.209	0.895	0.926	0.837	0.5000	1.0000	0.0000		0.5349	0.344	0.475	0.213	0.946	0.941	0.853	0.6875	1.0000	0.0000
205	0.0970	0.283	0.399	0.215	0.900	0.890	0.843	0.5000	1.0000	0.0000		0.3791	0.309	0.451	0.211	0.967	0.902	0.984	0.6875	1.0000	0.0000
210	0.0988	0.278	0.401	0.207	0.917	0.899	0.852	0.5000	1.0000	0.0000		0.5452	0.375	0.493	0.236	0.929	0.836	0.869	0.6875	1.0000	0.0000
215	0.0873	0.274	0.406	0.206	0.916	0.881	0.847	0.5000	1.0000	0.0000		0.4192	0.334	0.402	0.244	0.859	0.700	0.826	0.6875	1.0000	0.0000
220	0.1006	0.273	0.392	0.210	0.867	0.853	0.818	0.5047	1.0000	0.0093		0.6074	0.382	0.493	0.293	0.938	0.778	0.863	0.6875	1.0000	0.0000
225	0.1108	0.269	0.404	0.196	0.885	0.842	0.847	0.5000	1.0000	0.0000		0.5499	0.338	0.427	0.273	0.936	0.929	0.885	0.6875	1.0000	0.0000
230	0.0841	0.285	0.397	0.229	0.921	0.887	0.875	0.4953	0.9907	0.0000		0.5036	0.397	0.464	0.305	0.905	0.717	0.883	0.6875	1.0000	0.0000
235	0.0914	0.293	0.429	0.232	0.908	0.899	0.869	0.5000	1.0000	0.0000		0.5859	0.353	0.440	0.235	0.923	0.885	0.849	0.6875	1.0000	0.0000
240	0.1084	0.279	0.399	0.213	0.909	0.851	0.849	0.5000	1.0000	0.0000		0.6903	0.336	0.479	0.179	0.890	0.719	0.849	0.6875	1.0000	0.0000
245	0.0892	0.283	0.402	0.211	0.913	0.932	0.831	0.5000	1.0000	0.0000		0.3914	0.302	0.352	0.295	0.933	0.876	0.916	0.6875	1.0000	0.0000
250	0.0867	0.281	0.400	0.221	0.910	0.927	0.865	0.5000	1.0000	0.0000		0.3832	0.341	0.412	0.269	0.910	0.813	0.915	0.6875	1.0000	0.0000
255	0.0902	0.296	0.413	0.230	0.912	0.928	0.834	0.5000	1.0000	0.0000		0.5464	0.414	0.492	0.338	0.931	0.854	0.861	0.6875	1.0000	0.0000
260	0.0934	0.292	0.425	0.224	0.911	0.910	0.855	0.5000	1.0000	0.0000		0.5225	0.350	0.457	0.187	0.889	0.784	0.908	0.6875	1.0000	0.0000
265	0.0746	0.289	0.431	0.227	0.907	0.895	0.864	0.5000	1.0000	0.0000		0.4503	0.331	0.460	0.203	0.927	0.834	0.877	0.6875	1.0000	0.0000
270	0.0774	0.296	0.434	0.221	0.925	0.905	0.877	0.5000	1.0000	0.0000		0.4742	0.377	0.459	0.302	0.896	0.847	0.854	0.6875	1.0000	0.0000
275	0.0821	0.296	0.422	0.235	0.927	0.898	0.902	0.5000	1.0000	0.0000		0.6953	0.340	0.391	0.190	0.855	0.806	0.713	0.6875	1.0000	0.0000
280	0.0983	0.289	0.409	0.222	0.908	0.860	0.869	0.5000	1.0000	0.0000		0.4241	0.345	0.444	0.275	0.926	0.829	0.945	0.6875	1.0000	0.0000
285	0.0818	0.287	0.387	0.224	0.926	0.882	0.874	0.5000	1.0000	0.0000		0.4646	0.331	0.419	0.241	0.949	0.861	0.950	0.6875	1.0000	0.0000
290	0.0835	0.286	0.416	0.223	0.911	0.890	0.853	0.5000	1.0000	0.0000		0.5352	0.314	0.397	0.252	0.921	0.658	0.855	0.6875	1.0000	0.0000
295	0.0774	0.297	0.418	0.235	0.916	0.907	0.875	0.4907	0.9813	0.0000		0.7592	0.313	0.384	0.212	0.922	0.777	0.858	0.6875	1.0000	0.0000
300	0.0856	0.290	0.365	0.243	0.921	0.908	0.883	0.5000	1.0000	0.0000		0.5538	0.340	0.502	0.259	0.869	0.659	0.857	0.6875	1.0000	0.0000
305	0.0746	0.295	0.416	0.225	0.914	0.894	0.884	0.5000	1.0000	0.0000		0.4986	0.375	0.459	0.271	0.908	0.865	0.848	0.6875	1.0000	0.0000
310	0.0807	0.298	0.434	0.230	0.932	0.931	0.885	0.5000	1.0000	0.0000		0.7119	0.339	0.434	0.229	0.867	0.749	0.810	0.6875	1.0000	0.0000
315	0.0813	0.308	0.417	0.247	0.911	0.905	0.850	0.4953	0.9907	0.0000		0.4914	0.354	0.413	0.217	0.891	0.745	0.733	0.6875	1.0000	0.0000
320	0.0681	0.316	0.439	0.238	0.919	0.905	0.868	0.5000	1.0000	0.0000		0.4041	0.380	0.497	0.233	0.908	0.861	0.764	0.6875	1.0000	0.0000
325	0.0690	0.314	0.448	0.237	0.898	0.930	0.830	0.5000	1.0000	0.0000		0.4951	0.377	0.450	0.236	0.893	0.814	0.755	0.6875	1.0000	0.0000
330	0.0636	0.307	0.407	0.238	0.918	0.878	0.889	0.5047	1.0000	0.0093		0.6509	0.426	0.511	0.264	0.862	0.835	0.639	0.6875	1.0000	0.0000
335	0.0575	0.339	0.429	0.281	0.943	0.940	0.906	0.5000	1.0000	0.0000		0.5545	0.407	0.476	0.310	0.871	0.772	0.771	0.6875	1.0000	0.0000
340	0.0633	0.321	0.436	0.244	0.922	0.943	0.871	0.5000	1.0000	0.0000		0.5689	0.379	0.510	0.225	0.899	0.827	0.799	0.6875	1.0000	0.0000
345	0.0636	0.320	0.441	0.248	0.915	0.912	0.876	0.5000	1.0000	0.0000		0.6278	0.371	0.386	0.276	0.872	0.732	0.803	0.6875	1.0000	0.0000
350	0.0579	0.307	0.412	0.248	0.928	0.930	0.883	0.5000	1.0000	0.0000		0.6470	0.357	0.449	0.282	0.828	0.776	0.797	0.6875	1.0000	0.0000
355	0.0603	0.319	0.433	0.252	0.904	0.906	0.865	0.5000	1.0000	0.0000		0.7694	0.371	0.481	0.251	0.828	0.703	0.810	0.6875	1.0000	0.0000
360	0.0519	0.351	0.452	0.285	0.937	0.910	0.926	0.5047	1.0000	0.0093		0.6899	0.376	0.347	0.363	0.809	0.657	0.720	0.6875	1.0000	0.0000
