Program ID of SkyWatcher Network training:3748

Program command: 
 ['TrainSkyWatcher.py', '/home/hxie1/temp_netParameters/OvarianCancer/SkyWatcher', '/home/hxie1/data/OvarianCancerCT/Extract_ps2_2_5/Images_ROI_29_140_140', '/home/hxie1/data/OvarianCancerCT/Extract_ps2_2_5/Labels_ROI_23_127_127', '/home/hxie1/data/OvarianCancerCT/patientResponseDict.json']

Major program changes: 
                      merge train and test dataMgr into one.
                      when epoch %5 ==0, do not use mixup.
                      And Only when epoch %5 ==0, print log and save.
                      Along the encoder, use more filters. And the first layer has 32 filters.
                      Use BatchNorm1d in FC layer, instead of InstanceNorm1d.
                      

Experiment setting for Image3d ROI to response:
Input CT data: 29*140*140  3D CT raw image ROI with spacing size(5*2*2)
segmentation label: 23*127*127 with spacing size(5*2*2) segmentation label with value (0,1,2) which erases lymph node label

This is a multi-task learning. 

Predictive Model: 1,  first 3-layer dense conv block with channel size 128.
                  2,  and 3 dense conv DownBB blocks,  each of which includes a stride 2 conv and 3-layers dense conv block; 
                  3,  and 3 fully connected layers  changes the tensor into size 2*1;
                  4,  final a softmax for binary classification;
                  Total network learning parameters are 8 million.
                  Network architecture is referred at https://github.com/Hui-Xie/OvarianCancer/blob/master/SkyWatcherModel.py

response Loss Function:   focus loss  with weight [3.3, 1.4] for [0,1] class separately, as [0,1] uneven distribution.
segmentation loss function: focus loss  with weight [1.0416883685076772, 39.37007874015748, 68.39945280437757] for label (0, 1, 2)

Data:   training data has 113 patients, and valdiation data has 27 patients with training/test rate 80/20.
        We randomize all data, and then assign same distrubtion of treat reponse 0,1 into to training and test data set.
        

Training strategy:  50% probability of data are mixed up with beta distribution with alpha =0.4, to feed into network for training. 
                    No other data augmentation, and no dropout.  

                    Learning Scheduler:  Reduce learning rate on  plateau, and learning rate patience is 30 epochs.                                

            

Program starting Time: 2019-06-15 08:24:27.420218
Info: netPath = /home/hxie1/temp_netParameters/OvarianCancer/SkyWatcher

Now program get 140 input files.
Infor: In all data of 140 files, respone 0 has 41 files,
	  and response 1 has 99 files, where positive response rate = 0.7071428571428572 in full data
==== Regenerate training set and validation set by random with same distribution of 0 and 1 ==== 
Infor: Validation Set has 27 files,and Training Set has 113 files
Infor: In Validataion set, 19 1's, and positive response rate = 0.7037037037037037
Infor: In trainning set, 80 1's,  positive response rate = 0.7079646017699115
Infor: program is in multi samples running model.
TrainTestData Input:  batchSize=4, depth=29, height=140, width=140

Info: the size of bottle neck in the net = (512, 1, 7, 7)

Info: program uses Mixup with alpha=0.4, and mixupProb = 0.5.
Network trains from scratch.
Network has total 21,463,684 parameters.
Infor: Response Cross Entropy Weight: [3.3333333333333335, 1.4285714285714286] for label[0, 1]
Infor: Segmentation Cross Entropy Weight: [1.0416883685076772, 39.37007874015748, 68.39945280437757] for label (0, 1, 2)
Loss Functions List: FocalCELoss with weight of 1; 	FocalCELoss with weight of 1; 
Hints: Test Dice_0 is the dice coeff for all non-zero labels
Hints: Test Dice_1 is for primary cancer(green), 	
 test Dice_2 is for metastasis(yellow), 	
 and test Dice_3 is for invaded lymph node(brown).
Hints: Test TPR_0 is the TPR for all non-zero labels
Hints: Test TPR_1 is for primary cancer(green), 	
 TPR_2 is for metastasis(yellow), 	
 and TPR_3 is for invaded lymph node(brown).

Dice is based on all 2D segmented slices in the volume from weak annotation, not real 3D dice.

Hints: Optimal_Result = Yes = 1,  Optimal_Result = No = 0 

Epoch	TrLoss	Dice0	Dice1	Dice2	TPR_0	TPR_1	TPR_2	Accura	TPR_r	TNR_r		TsLoss	Dice0	Dice1	Dice2	TPR_0	TPR_1	TPR_2	Accura	TPR_r	TNR_r
0	0.7910	0.097	0.082	0.045	0.820	0.235	0.670	0.5446	0.4304	0.8182		1.9442	0.054	0.017	0.048	0.601	0.011	0.732	0.5000	0.3750	0.7500
5	0.6258	0.115	0.166	0.051	0.833	0.605	0.576	0.5268	0.5875	0.3750		0.6989	0.063	0.139	0.043	0.986	0.882	0.907	0.5833	0.7222	0.1667
10	0.5347	0.219	0.286	0.101	0.921	0.578	0.585	0.6339	0.7342	0.3939		0.5194	0.188	0.395	0.103	0.852	0.815	0.593	0.5833	0.8235	0.0000
15	0.4732	0.227	0.401	0.102	0.921	0.774	0.584	0.5357	0.6456	0.2727		0.4593	0.146	0.222	0.108	0.739	0.655	0.717	0.6667	0.8824	0.1429
20	0.5637	0.214	0.249	0.105	0.917	0.516	0.516	0.4732	0.5696	0.2424		0.4896	0.144	0.245	0.083	0.928	0.912	0.496	0.6250	0.6471	0.5714
25	0.4747	0.200	0.307	0.115	0.907	0.685	0.662	0.4911	0.5443	0.3636		0.5937	0.127	0.283	0.091	0.957	0.819	0.709	0.5000	0.6875	0.1250
30	0.4379	0.215	0.308	0.137	0.902	0.633	0.759	0.5804	0.7250	0.2188		0.4637	0.145	0.269	0.106	0.968	0.724	0.837	0.4583	0.4118	0.5714
35	0.4088	0.219	0.350	0.140	0.945	0.724	0.770	0.6071	0.7375	0.2812		0.4701	0.115	0.223	0.093	0.967	0.933	0.736	0.6667	0.9412	0.0000
40	0.4467	0.221	0.323	0.125	0.913	0.677	0.622	0.5536	0.6709	0.2727		0.4378	0.159	0.301	0.098	0.927	0.776	0.769	0.7083	1.0000	0.0000
45	0.3901	0.231	0.337	0.143	0.925	0.664	0.773	0.5625	0.6875	0.2500		0.4370	0.152	0.289	0.108	0.861	0.696	0.720	0.6250	0.8824	0.0000
50	0.3798	0.233	0.369	0.155	0.936	0.760	0.815	0.5893	0.7468	0.2121		0.4261	0.129	0.313	0.102	0.926	0.890	0.737	0.5000	0.7059	0.0000
55	0.3720	0.232	0.343	0.161	0.941	0.688	0.876	0.6161	0.7468	0.3030		0.5426	0.170	0.326	0.103	0.856	0.845	0.632	0.5000	0.6250	0.2500
60	0.3769	0.251	0.344	0.178	0.926	0.761	0.759	0.6250	0.7625	0.2812		0.4507	0.161	0.325	0.109	0.925	0.747	0.795	0.6250	0.8125	0.2500
65	0.3642	0.249	0.345	0.169	0.934	0.753	0.771	0.5893	0.7468	0.2121		0.5274	0.146	0.271	0.112	0.904	0.863	0.751	0.6250	0.7647	0.2857
70	0.4101	0.242	0.346	0.166	0.918	0.770	0.672	0.6250	0.7215	0.3939		0.4582	0.110	0.198	0.095	0.958	0.964	0.684	0.6250	0.6667	0.5000
75	0.3417	0.263	0.398	0.182	0.935	0.784	0.801	0.5893	0.6456	0.4545		0.4336	0.163	0.279	0.122	0.944	0.923	0.687	0.6250	0.8235	0.1429
80	0.3206	0.266	0.389	0.197	0.934	0.806	0.805	0.6607	0.7468	0.4545		0.4970	0.169	0.245	0.137	0.926	0.800	0.683	0.5833	0.8125	0.1250
85	0.3363	0.256	0.384	0.176	0.951	0.804	0.807	0.6786	0.7125	0.5938		0.4445	0.147	0.306	0.105	0.940	0.862	0.787	0.5833	0.8125	0.1250
90	0.3267	0.261	0.398	0.172	0.928	0.823	0.775	0.6071	0.6962	0.3939		0.4886	0.167	0.259	0.130	0.961	0.879	0.715	0.7083	0.8889	0.1667
95	0.3110	0.280	0.370	0.212	0.955	0.803	0.798	0.7232	0.7375	0.6875		0.4902	0.192	0.289	0.154	0.912	0.829	0.713	0.5833	0.7500	0.2500
